Location,Kharif,Rabi,Acres,Type,Method1,Method2,Method3,Credits
Andhra Pradesh,Rice,Wheat,4942100.0,Luvisols,Reduced Tillage,Irrigation Management,Fertilizer Management,89760.0
Andhra Pradesh,Rice,Green Manure Crop,4942100.0,Luvisols,Reduced Tillage,Irrigation Management,Fertilizer Management,649481.0
Andhra Pradesh,Rice,Wheat,4942100.0,Luvisols,Reduced Tillage,Irrigation Management,Fertilizer Management,3281744.0
Andhra Pradesh,Rice,Green Manure Crop,4942100.0,Luvisols,Reduced Tillage,Irrigation Management,Fertilizer Management,3281744.0
Andhra Pradesh,Rice,Wheat,4942100.0,Luvisols,Reduced Tillage,Irrigation Management,Fertilizer Management,3281744.0
Andhra Pradesh,Rice,Green Manure Crop,4942100.0,Luvisols,Reduced Tillage,Irrigation Management,Fertilizer Management,3281744.0
Andhra Pradesh,Rice,Wheat,4942100.0,Luvisols,Reduced Tillage,Irrigation Management,Fertilizer Management,3281744.0
Andhra Pradesh,Rice,Green Manure Crop,4942100.0,Luvisols,Reduced Tillage,Irrigation Management,Fertilizer Management,3281744.0
Bihar,Rice,Wheat,823683.33,Cambisols,Fertilizer Management,Residue Management,Crop Rotation,10941.08
Bihar,Millet,Wheat,823683.33,Cambisols,Fertilizer Management,Residue Management,Crop Rotation,10941.08
Bihar,Rice,Wheat,823683.33,Cambisols,Fertilizer Management,Residue Management,Crop Rotation,21882.17
Bihar,Millet,Wheat,823683.33,Cambisols,Fertilizer Management,Residue Management,Crop Rotation,21882.17
Bihar,Rice,Wheat,823683.33,Cambisols,Fertilizer Management,Residue Management,Crop Rotation,81722.08
Bihar,Millet,Wheat,823683.33,Cambisols,Fertilizer Management,Residue Management,Crop Rotation,81722.08
Bihar,Rice,Wheat,823683.33,Cambisols,Fertilizer Management,Residue Management,Crop Rotation,149599.8
Bihar,Millet,Wheat,823683.33,Cambisols,Fertilizer Management,Residue Management,Crop Rotation,149599.8
Bihar,Rice,Wheat,823683.33,Cambisols,Reduced Tillage,Fertilizer Management,Irrigation Management,379577.5
Bihar,Millet,Wheat,823683.33,Cambisols,Reduced Tillage,Fertilizer Management,Irrigation Management,379577.5
Bihar,Rice,Wheat,823683.33,Cambisols,Reduced Tillage,Fertilizer Management,Irrigation Management,518021.3
Bihar,Millet,Wheat,823683.33,Cambisols,Reduced Tillage,Fertilizer Management,Irrigation Management,518021.3
Bihar,Rice,Wheat,823683.33,Cambisols,Reduced Tillage,Fertilizer Management,Irrigation Management,518021.3
Bihar,Millet,Wheat,823683.33,Cambisols,Reduced Tillage,Fertilizer Management,Irrigation Management,518021.3
Bihar,Rice,Wheat,823683.33,Cambisols,Reduced Tillage,Fertilizer Management,Irrigation Management,518021.3
Bihar,Millet,Wheat,823683.33,Cambisols,Reduced Tillage,Fertilizer Management,Irrigation Management,518021.3
Bihar,Rice,Wheat,823683.33,Cambisols,Reduced Tillage,Fertilizer Management,Irrigation Management,518021.3
Bihar,Millet,Wheat,823683.33,Cambisols,Reduced Tillage,Fertilizer Management,Irrigation Management,518021.3
Bihar,Rice,Wheat,823683.33,Cambisols,Reduced Tillage,Fertilizer Management,Irrigation Management,518021.3
Bihar,Millet,Wheat,823683.33,Cambisols,Reduced Tillage,Fertilizer Management,Irrigation Management,518021.3
Bihar,Rice,Wheat,823683.33,Cambisols,Reduced Tillage,Fertilizer Management,Irrigation Management,518021.3
Bihar,Millet,Wheat,823683.33,Cambisols,Reduced Tillage,Fertilizer Management,Irrigation Management,518021.3
Bihar,Rice,Wheat,823683.33,Cambisols,Reduced Tillage,Fertilizer Management,Irrigation Management,518021.3
Bihar,Millet,Wheat,823683.33,Cambisols,Reduced Tillage,Fertilizer Management,Irrigation Management,518021.3
Bihar,Rice,Wheat,823683.33,Cambisols,Irrigation Management,Reduced Tillage,Crop Rotation,518021.3
Bihar,Millet,Wheat,823683.33,Cambisols,Irrigation Management,Reduced Tillage,Crop Rotation,518021.3
Bihar,Rice,Wheat,823683.33,Cambisols,Irrigation Management,Reduced Tillage,Crop Rotation,518021.3
Bihar,Millet,Wheat,823683.33,Cambisols,Irrigation Management,Reduced Tillage,Crop Rotation,518021.3
Bihar,Rice,Wheat,823683.33,Cambisols,Irrigation Management,Reduced Tillage,Crop Rotation,518021.3
Bihar,Millet,Wheat,823683.33,Cambisols,Irrigation Management,Reduced Tillage,Crop Rotation,518021.3
Bihar,Rice,Wheat,823683.33,Cambisols,Irrigation Management,Reduced Tillage,Crop Rotation,518021.3
Bihar,Millet,Wheat,823683.33,Cambisols,Irrigation Management,Reduced Tillage,Crop Rotation,518021.3
Bihar,Rice,Wheat,823683.33,Cambisols,Irrigation Management,Reduced Tillage,Crop Rotation,518021.3
Bihar,Millet,Wheat,823683.33,Cambisols,Irrigation Management,Reduced Tillage,Crop Rotation,518021.3
Bihar,Rice,Wheat,823683.33,Cambisols,Irrigation Management,Reduced Tillage,Crop Rotation,518021.3
Bihar,Millet,Wheat,823683.33,Cambisols,Irrigation Management,Reduced Tillage,Crop Rotation,518021.3
Bihar,Rice,Wheat,823683.33,Cambisols,Irrigation Management,Reduced Tillage,Crop Rotation,518021.3
Bihar,Millet,Wheat,823683.33,Cambisols,Irrigation Management,Reduced Tillage,Crop Rotation,518021.3
Bihar,Rice,Wheat,823683.33,Cambisols,Irrigation Management,Reduced Tillage,Crop Rotation,518021.3
Bihar,Millet,Wheat,823683.33,Cambisols,Irrigation Management,Reduced Tillage,Crop Rotation,518021.3
Chhattisgarh,Rice,Green Manure Crop,4942100.0,Lixisols,Reduced Tillage,Irrigation Management,Fertilizer Management,89760.0
Chhattisgarh,Rice,Wheat,4942100.0,Lixisols,Reduced Tillage,Irrigation Management,Fertilizer Management,1088094.5
Chhattisgarh,Rice,Green Manure Crop,4942100.0,Lixisols,Reduced Tillage,Irrigation Management,Fertilizer Management,3281744.0
Chhattisgarh,Rice,Wheat,4942100.0,Lixisols,Reduced Tillage,Irrigation Management,Fertilizer Management,3281744.0
Chhattisgarh,Rice,Green Manure Crop,4942100.0,Lixisols,Reduced Tillage,Irrigation Management,Fertilizer Management,3281744.0
Chhattisgarh,Rice,Wheat,4942100.0,Lixisols,Reduced Tillage,Irrigation Management,Fertilizer Management,3281744.0
Chhattisgarh,Rice,Green Manure Crop,4942100.0,Lixisols,Reduced Tillage,Irrigation Management,Fertilizer Management,3281744.0
Chhattisgarh,Rice,Wheat,4942100.0,Lixisols,Reduced Tillage,Irrigation Management,Fertilizer Management,3281744.0
Gujrat,Cotton,Wheat,20592.08,Vertisols,Fertilizer Management,Reduced Tillage,Intercropping,40565.67
Gujrat,Maize,Wheat,20592.08,Vertisols,Fertilizer Management,Reduced Tillage,Intercropping,40565.67
Gujrat,Rice,Wheat,20592.08,Vertisols,Fertilizer Management,Reduced Tillage,Intercropping,40565.67
Gujrat,Cotton,Wheat,50153.18,Vertisols,Fertilizer Management,Reduced Tillage,Intercropping,40565.67
Gujrat,Maize,Wheat,50153.18,Vertisols,Fertilizer Management,Reduced Tillage,Intercropping,40565.67
Gujrat,Rice,Wheat,50153.18,Vertisols,Fertilizer Management,Reduced Tillage,Intercropping,40565.67
Gujrat,Cotton,Wheat,79714.28,Vertisols,Fertilizer Management,Reduced Tillage,Intercropping,40565.67
Gujrat,Maize,Wheat,79714.28,Vertisols,Fertilizer Management,Reduced Tillage,Intercropping,40565.67
Gujrat,Rice,Wheat,79714.28,Vertisols,Fertilizer Management,Reduced Tillage,Intercropping,40565.67
Gujrat,Cotton,Wheat,109275.37,Vertisols,Fertilizer Management,Reduced Tillage,Intercropping,40565.67
Gujrat,Maize,Wheat,109275.37,Vertisols,Fertilizer Management,Reduced Tillage,Intercropping,40565.67
Gujrat,Rice,Wheat,109275.37,Vertisols,Fertilizer Management,Reduced Tillage,Intercropping,40565.67
Gujrat,Cotton,Wheat,83301.88,Vertisols,Fertilizer Management,Reduced Tillage,Intercropping,38794.8
Gujrat,Sugarcane,Wheat,83301.88,Vertisols,Fertilizer Management,Reduced Tillage,Intercropping,38794.8
Gujrat,Rice,Wheat,83301.88,Vertisols,Fertilizer Management,Reduced Tillage,Intercropping,38794.8
Gujrat,Maize,Wheat,83301.88,Vertisols,Fertilizer Management,Reduced Tillage,Intercropping,38794.8
Gujrat,Legumes,Wheat,83301.88,Vertisols,Fertilizer Management,Reduced Tillage,Intercropping,38794.8
Gujrat,Cotton,Wheat,101038.5,Vertisols,Fertilizer Management,Reduced Tillage,Intercropping,89984.0
Gujrat,Sugarcane,Wheat,101038.5,Vertisols,Fertilizer Management,Reduced Tillage,Intercropping,89984.0
Gujrat,Rice,Wheat,101038.5,Vertisols,Fertilizer Management,Reduced Tillage,Intercropping,89984.0
Gujrat,Maize,Wheat,101038.5,Vertisols,Fertilizer Management,Reduced Tillage,Intercropping,89984.0
Gujrat,Legumes,Wheat,101038.5,Vertisols,Fertilizer Management,Reduced Tillage,Intercropping,89984.0
Gujrat,Cotton,Wheat,118775.2,Vertisols,Fertilizer Management,Reduced Tillage,Intercropping,141118.8
Gujrat,Sugarcane,Wheat,118775.2,Vertisols,Fertilizer Management,Reduced Tillage,Intercropping,141118.8
Gujrat,Rice,Wheat,118775.2,Vertisols,Fertilizer Management,Reduced Tillage,Intercropping,141118.8
Gujrat,Maize,Wheat,118775.2,Vertisols,Fertilizer Management,Reduced Tillage,Intercropping,141118.8
Gujrat,Legumes,Wheat,118775.2,Vertisols,Fertilizer Management,Reduced Tillage,Intercropping,141118.8
Gujrat,Cotton,Wheat,136511.9,Vertisols,Fertilizer Management,Reduced Tillage,Intercropping,197704.8
Gujrat,Sugarcane,Wheat,136511.9,Vertisols,Fertilizer Management,Reduced Tillage,Intercropping,197704.8
Gujrat,Rice,Wheat,136511.9,Vertisols,Fertilizer Management,Reduced Tillage,Intercropping,197704.8
Gujrat,Maize,Wheat,136511.9,Vertisols,Fertilizer Management,Reduced Tillage,Intercropping,197704.8
Gujrat,Legumes,Wheat,136511.9,Vertisols,Fertilizer Management,Reduced Tillage,Intercropping,197704.8
Gujrat,Cotton,Wheat,154248.5,Vertisols,Fertilizer Management,Reduced Tillage,Residue Management,255748.6
Gujrat,Sugarcane,Wheat,154248.5,Vertisols,Fertilizer Management,Reduced Tillage,Residue Management,255748.6
Gujrat,Rice,Wheat,154248.5,Vertisols,Fertilizer Management,Reduced Tillage,Residue Management,255748.6
Gujrat,Maize,Wheat,154248.5,Vertisols,Fertilizer Management,Reduced Tillage,Residue Management,255748.6
Gujrat,Legumes,Wheat,154248.5,Vertisols,Fertilizer Management,Reduced Tillage,Residue Management,255748.6
Gujrat,Cotton,Wheat,154248.5,Vertisols,Fertilizer Management,Reduced Tillage,Residue Management,306097.6
Gujrat,Sugarcane,Wheat,154248.5,Vertisols,Fertilizer Management,Reduced Tillage,Residue Management,306097.6
Gujrat,Rice,Wheat,154248.5,Vertisols,Fertilizer Management,Reduced Tillage,Residue Management,306097.6
Gujrat,Maize,Wheat,154248.5,Vertisols,Fertilizer Management,Reduced Tillage,Residue Management,306097.6
Gujrat,Legumes,Wheat,154248.5,Vertisols,Fertilizer Management,Reduced Tillage,Residue Management,306097.6
Gujrat,Cotton,Wheat,154248.5,Vertisols,Fertilizer Management,Reduced Tillage,Residue Management,306097.6
Gujrat,Sugarcane,Wheat,154248.5,Vertisols,Fertilizer Management,Reduced Tillage,Residue Management,306097.6
Gujrat,Rice,Wheat,154248.5,Vertisols,Fertilizer Management,Reduced Tillage,Residue Management,306097.6
