Name,Location,Kharif Crop,Rabi Crop,Number of Acres,Method1,Method2,Method3,Number of credits / carbon sequestration potential,Yield Increase,Emission reduction,Cost,Project value,Project Start Date,Verification date,Date of credits receival,Additional comments,Source
Name 1,"Prairie City, US",,Wheat,,Biochar,,,,,,,,31-12-2025,,,,
,Bolivia,Sugarcane,Potato,,Biochar,,,20,,,,,31-12-2026,,,,
,US,BuffaloGrass,"Willow,
Poplar,
Switchgrass",26646840,Bioenergy Crops,,,"1,16,52,50,000.00",,20.00%,,,31-12-2027,,,The carbon credits potential is reported on annual basis,"Bioenergy Crops and Carbon Sequestration
https://www.tandfonline.com/doi/abs/10.1080/07352680590910393"
Sparacia,"Cammarata,Italy",,Wheat,0.09,Monocropping,,,0.873,,,,,31-Dec-28,2016.0,,,https://www.mdpi.com/2073-4395/13/11/2714
Sparacia,"Cammarata,Italy",,"Wheat,Peas",0.09,Crop rotation,,,0.764,,,,,31-Dec-29,2016.0,,,https://www.mdpi.com/2073-4395/13/11/2714
"Elora Research Station of the University of Guelph,"," Elora, Ont., Canada",,alfalfa,2.47,Crop rotation,Tillage effects,,17.85,,,,,31-12-2030,,,The cost ,https://www.sciencedirect.com/science/article/pii/S0167198701001623?casa_token=Sikl5aMDFuUAAAAA:KwUKcOWSpWtYhwwSvZZ4IaIL_nSl_NE5E79fkrIna3ebgPmIPbGQcy4X7o2SWg7A1j9MgeblHg#aep-section-id13
"Elora Research Station of the University of Guelph,"," Elora Research Station of the University of Guelph, Elora, Ont., Canada",corn,corn,2.47,Crop rotation,Tillage effects,,16.85,,,,,31-12-2031,,,,https://www.sciencedirect.com/science/article/pii/S0167198701001623?casa_token=Sikl5aMDFuUAAAAA:KwUKcOWSpWtYhwwSvZZ4IaIL_nSl_NE5E79fkrIna3ebgPmIPbGQcy4X7o2SWg7A1j9MgeblHg#aep-section-id13
"Elora Research Station of the University of Guelph,"," Elora Research Station of the University of Guelph, Elora, Ont., Canada",corn,alfalfa,2.47,Crop rotation,Tillage effects,,16.22,,,,,31-12-2032,,,,https://www.sciencedirect.com/science/article/pii/S0167198701001623?casa_token=Sikl5aMDFuUAAAAA:KwUKcOWSpWtYhwwSvZZ4IaIL_nSl_NE5E79fkrIna3ebgPmIPbGQcy4X7o2SWg7A1j9MgeblHg#aep-section-id13
"Elora Research Station of the University of Guelph,"," Elora Research Station of the University of Guelph, Elora, Ont., Canada",soyabean,corn,2.47,Crop rotation,Tillage effects,,16.18,,,,,31-12-2033,,,,https://www.sciencedirect.com/science/article/pii/S0167198701001623?casa_token=Sikl5aMDFuUAAAAA:KwUKcOWSpWtYhwwSvZZ4IaIL_nSl_NE5E79fkrIna3ebgPmIPbGQcy4X7o2SWg7A1j9MgeblHg#aep-section-id13
"Elora Research Station of the University of Guelph,"," Elora Research Station of the University of Guelph, Elora, Ont., Canada",corn,barley,2.47,Crop rotation,Tillage effects,,15.52,,,,,31-12-2034,,,,https://www.sciencedirect.com/science/article/pii/S0167198701001623?casa_token=Sikl5aMDFuUAAAAA:KwUKcOWSpWtYhwwSvZZ4IaIL_nSl_NE5E79fkrIna3ebgPmIPbGQcy4X7o2SWg7A1j9MgeblHg#aep-section-id13
Agronomy Research Farm,"Iowa,US", Corn, Corn,0.275,Chisel Tillage ,High Stover,Continuous Corn with 13 t/acre BioChar,2.82,-4.75%,,"$5,307.50",,31-Dec-35,2016.0,,"The original dataset includes soil health, crop biomass, and crop yield data for a 13-year corn stover harvest trial in central Iowa.",https://data.nal.usda.gov/dataset/thirteen-year-stover-harvest-and-tillage-effects-corn-agroecosystem-sustainability-iowa
Agronomy Research Farm,"Iowa,US","Corn,Soy","Wheat,Rye",0.275,No-Tillage,Moderate Stover,Wheat/CC-Corn-Rye-Soy,3.06,,,$91.75,,31-Dec-36,2016.0,,,
Agronomy Research Farm,"Iowa,US",Corn,Corn,0.275,Chisel,Zero Stover,Continuous Corn with 4 t/acre BioChar,-1.9,-3.11%,,"$1,694.50",,31-Dec-37,2016.0,,the methodology 2 column  represents Stover Harvest for all IOWA ,
Agronomy Research Farm,"Iowa,US",Corn,Corn,0.275,Chisel,Moderate Stover,Continuous Corn with 13 t/acre BioChar,1.82,1.78%,,"$5,300.00",,31-Dec-38,2016.0,,,
Agronomy Research Farm,"Iowa,US",Corn,Alfalfa,0.275,No-Tillage,High Stover,Alfalfa-Corn-Corn-Alfalfa-Alfalfa,-0.67, ,,$99.75,,31-Dec-39,2016.0,,The costs are in per acre,
Agronomy Research Farm,"Iowa,US",Corn,Alfalfa,0.275,No-Tillage,High Stover,Alfalfa-Alfalfa-Corn-Corn-Alfalfa,1.37, ,,$99.75,,31-Dec-40,2016.0,,,
Agronomy Research Farm,"Iowa,US",Corn,Corn,0.275,Chisel,Moderate Stover,Continuous Corn with 4 t/acre BioChar,-0.22,-4.31%,,"$1,701.00",,31-Dec-41,2016.0,,,
Agronomy Research Farm,"Iowa,US","Corn,Soy","Wheat,Rye",0.275,No-Tillage,Moderate Stover,Rye-Soy-Wheat/CC-Corn,-1.81, ,,$91.75,,31-Dec-42,2016.0,,,
Agronomy Research Farm,"Iowa,US",Corn,Corn,0.275,Chisel,High Stover,Continuous Corn with 4 t/acre BioChar,1.78,3.37%,,"$1,707.50",,30-Sep-43,2016.0,,,
Agronomy Research Farm,"Iowa,US",Corn,Corn,0.275,Chisel,Moderate Stover,Continuous Corn,-2.27,0.66%,,$100.00,,2015,2016.0,,,
Agronomy Research Farm,"Iowa,US","Corn,Soy","Wheat,Rye",0.275,No-Tillage,High Stover,Rye-Soy-Wheat/CC-Corn,0.3, ,,$98.00,,2015,2016.0,,,
Agronomy Research Farm,"Iowa,US","Corn,Soy","Wheat,Rye",0.275,No-Tillage,Moderate Stover,Corn-Rye-Soy-Wheat/CC,0.19, ,,$91.75,,2015,2016.0,,,
Agronomy Research Farm,"Iowa,US","Corn,Soy","Wheat,Rye",0.275,No-Tillage,High Stover,Wheat/CC-Corn-Rye-Soy,-1.16, ,,$98.00,,2015,2016.0,,,
Agronomy Research Farm,"Iowa,US",Corn,Alfalfa,0.275,No-Tillage,High Stover,Corn-Alfalfa-Alfalfa-Alfalfa-Corn,-0.6, ,,$99.75,,2015,2016.0,,,
Agronomy Research Farm,"Iowa,US",Corn,Corn,0.275,Chisel,Zero Stover,Continuous Corn,-1.62,4.83%,,$93.50,,2015,2016.0,,,
Agronomy Research Farm,"Iowa,US",Corn,Corn,0.275,No-Tillage,Moderate Stover,Continuous Corn,1.41,-5.40%,,$91.00,,2015,2016.0,,,
Agronomy Research Farm,"Iowa,US",Corn,Corn,0.275,Chisel,Zero Stover,Continuous Corn with 13 t/acre BioChar,-0.42,8.50%,,"$5,204.00",,2015,2016.0,,,
Agronomy Research Farm,"Iowa,US",Corn,Alfalfa,0.275,No-Tillage,High Stover,Corn-Corn-Alfalfa-Alfalfa-Alfalfa,-1.05,-9.34%,,$99.75,,2015,2016.0,,,
Agronomy Research Farm,"Iowa,US",Corn,Corn,0.275,Chisel,High Stover,Continuous Corn,0.75,7.56%,,$107.50,,2015,2016.0,,,
Agronomy Research Farm,"Iowa,US",Corn,Corn,0.275,No-Tillage,High Stover,Continuous Corn,-0.02,-0.66%,,$96.00,,2015,2016.0,,,
Agronomy Research Farm,"Iowa,US","Corn,Soy","Wheat,Rye",0.275,No-Tillage,High Stover,Corn-Rye-Soy-Wheat/CC,-0.04, ,,$98.00,,2015,2016.0,,"No-Tillage, Moderate Stover, Wheat/CC-Corn-Rye-Soy:
Tillage: No-till, so no cost.
Planting: Drilling small grain at $18.5 per acre.
Fertilizing: Assuming dry bulk fertilizer at $6.75 per acre.
Stover Removal: 50% removal cost is half of $13 (Hay-mowing) = $6.5 per acre.
Biochar: No biochar application mentioned.
Harvesting: Complete harvesting of corn at $60 per acre (assuming corn is the dominant crop).
Total Cost: $18.5 (Planting) + $6.75 (Fertilizing) + $6.5 (Stover) + $60 (Harvesting) = $91.75 per acre.",
Agronomy Research Farm,"Iowa,US",Corn,Alfalfa,0.275,No-Tillage,High Stover,Alfalfa-Alfalfa-Alfalfa-Corn-Corn,-1.64, ,,$99.75,,2015,2016.0,,,
Agronomy Research Farm,"Iowa,US",Corn,Corn,0.275,No-Tillage,High Stover,Continuous Corn,2.39,-6.82%,,$96.00,,2015,2016.0,,,
