Location,Kharif,Rabi,Acres,Type,Method1,Method2,Method3,Credits
0,7,2,4942100.0,3,3,2,2,89760.0
0,7,1,4942100.0,3,3,2,2,649481.0
0,7,2,4942100.0,3,3,2,2,3281744.0
0,7,1,4942100.0,3,3,2,2,3281744.0
0,7,2,4942100.0,3,3,2,2,3281744.0
0,7,1,4942100.0,3,3,2,2,3281744.0
0,7,2,4942100.0,3,3,2,2,3281744.0
0,7,1,4942100.0,3,3,2,2,3281744.0
1,7,2,823683.33,1,0,5,1,10941.08
1,5,2,823683.33,1,0,5,1,10941.08
1,7,2,823683.33,1,0,5,1,21882.17
1,5,2,823683.33,1,0,5,1,21882.17
1,7,2,823683.33,1,0,5,1,81722.08
1,5,2,823683.33,1,0,5,1,81722.08
1,7,2,823683.33,1,0,5,1,149599.8
1,5,2,823683.33,1,0,5,1,149599.8
1,7,2,823683.33,1,2,1,4,379577.5
1,5,2,823683.33,1,2,1,4,379577.5
1,7,2,823683.33,1,2,1,4,518021.3
1,5,2,823683.33,1,2,1,4,518021.3
1,7,2,823683.33,1,2,1,4,518021.3
1,5,2,823683.33,1,2,1,4,518021.3
1,7,2,823683.33,1,2,1,4,518021.3
1,5,2,823683.33,1,2,1,4,518021.3
1,7,2,823683.33,1,2,1,4,518021.3
1,5,2,823683.33,1,2,1,4,518021.3
1,7,2,823683.33,1,2,1,4,518021.3
1,5,2,823683.33,1,2,1,4,518021.3
1,7,2,823683.33,1,2,1,4,518021.3
1,5,2,823683.33,1,2,1,4,518021.3
1,7,2,823683.33,1,2,1,4,518021.3
1,5,2,823683.33,1,2,1,4,518021.3
1,7,2,823683.33,1,1,3,1,518021.3
1,5,2,823683.33,1,1,3,1,518021.3
1,7,2,823683.33,1,1,3,1,518021.3
1,5,2,823683.33,1,1,3,1,518021.3
1,7,2,823683.33,1,1,3,1,518021.3
1,5,2,823683.33,1,1,3,1,518021.3
1,7,2,823683.33,1,1,3,1,518021.3
1,5,2,823683.33,1,1,3,1,518021.3
1,7,2,823683.33,1,1,3,1,518021.3
1,5,2,823683.33,1,1,3,1,518021.3
1,7,2,823683.33,1,1,3,1,518021.3
1,5,2,823683.33,1,1,3,1,518021.3
1,7,2,823683.33,1,1,3,1,518021.3
1,5,2,823683.33,1,1,3,1,518021.3
1,7,2,823683.33,1,1,3,1,518021.3
1,5,2,823683.33,1,1,3,1,518021.3
2,7,1,4942100.0,2,3,2,2,89760.0
2,7,2,4942100.0,2,3,2,2,1088094.5
2,7,1,4942100.0,2,3,2,2,3281744.0
2,7,2,4942100.0,2,3,2,2,3281744.0
2,7,1,4942100.0,2,3,2,2,3281744.0
2,7,2,4942100.0,2,3,2,2,3281744.0
2,7,1,4942100.0,2,3,2,2,3281744.0
2,7,2,4942100.0,2,3,2,2,3281744.0
3,1,2,20592.08,4,0,4,3,40565.67
3,4,2,20592.08,4,0,4,3,40565.67
3,7,2,20592.08,4,0,4,3,40565.67
3,1,2,50153.18,4,0,4,3,40565.67
3,4,2,50153.18,4,0,4,3,40565.67
3,7,2,50153.18,4,0,4,3,40565.67
3,1,2,79714.28,4,0,4,3,40565.67
3,4,2,79714.28,4,0,4,3,40565.67
3,7,2,79714.28,4,0,4,3,40565.67
3,1,2,109275.37,4,0,4,3,40565.67
3,4,2,109275.37,4,0,4,3,40565.67
3,7,2,109275.37,4,0,4,3,40565.67
3,1,2,83301.88,4,0,4,3,38794.8
3,9,2,83301.88,4,0,4,3,38794.8
3,7,2,83301.88,4,0,4,3,38794.8
3,4,2,83301.88,4,0,4,3,38794.8
3,3,2,83301.88,4,0,4,3,38794.8
3,1,2,101038.5,4,0,4,3,89984.0
3,9,2,101038.5,4,0,4,3,89984.0
3,7,2,101038.5,4,0,4,3,89984.0
3,4,2,101038.5,4,0,4,3,89984.0
3,3,2,101038.5,4,0,4,3,89984.0
3,1,2,118775.2,4,0,4,3,141118.8
3,9,2,118775.2,4,0,4,3,141118.8
3,7,2,118775.2,4,0,4,3,141118.8
3,4,2,118775.2,4,0,4,3,141118.8
3,3,2,118775.2,4,0,4,3,141118.8
3,1,2,136511.9,4,0,4,3,197704.8
3,9,2,136511.9,4,0,4,3,197704.8
3,7,2,136511.9,4,0,4,3,197704.8
3,4,2,136511.9,4,0,4,3,197704.8
3,3,2,136511.9,4,0,4,3,197704.8
3,1,2,154248.5,4,0,4,5,255748.6
3,9,2,154248.5,4,0,4,5,255748.6
3,7,2,154248.5,4,0,4,5,255748.6
3,4,2,154248.5,4,0,4,5,255748.6
3,3,2,154248.5,4,0,4,5,255748.6
3,1,2,154248.5,4,0,4,5,306097.6
3,9,2,154248.5,4,0,4,5,306097.6
3,7,2,154248.5,4,0,4,5,306097.6
3,4,2,154248.5,4,0,4,5,306097.6
3,3,2,154248.5,4,0,4,5,306097.6
3,1,2,154248.5,4,0,4,5,306097.6
3,9,2,154248.5,4,0,4,5,306097.6
3,7,2,154248.5,4,0,4,5,306097.6
3,4,2,154248.5,4,0,4,5,306097.6
3,3,2,154248.5,4,0,4,5,306097.6
3,1,2,154248.5,4,0,4,5,306097.6
3,9,2,154248.5,4,0,4,5,306097.6
3,7,2,154248.5,4,0,4,5,306097.6
3,4,2,154248.5,4,0,4,5,306097.6
3,3,2,154248.5,4,0,4,5,306097.6
3,1,2,154248.5,4,0,4,5,306097.6
3,9,2,154248.5,4,0,4,5,306097.6
3,7,2,154248.5,4,0,4,5,306097.6
3,4,2,154248.5,4,0,4,5,306097.6
3,3,2,154248.5,4,0,4,5,306097.6
3,1,2,154248.5,4,0,4,5,306097.6
3,9,2,154248.5,4,0,4,5,306097.6
3,7,2,154248.5,4,0,4,5,306097.6
3,4,2,154248.5,4,0,4,5,306097.6
3,3,2,154248.5,4,0,4,5,306097.6
3,1,2,154248.5,4,0,4,5,306097.6
3,9,2,154248.5,4,0,4,5,306097.6
3,7,2,154248.5,4,0,4,5,306097.6
3,4,2,154248.5,4,0,4,5,306097.6
